row ID,SSL,BATHRM,HF_BATHRM,HEAT,HEAT_D,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STYLE_D,STRUCT,STRUCT_D,GRADE,GRADE_D,CNDTN,CNDTN_D,EXTWALL,EXTWALL_D,ROOF,ROOF_D,INTWALL,INTWALL_D,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
76861,4061    0115,3.0,1.0,13.0,Hot Water Rad,Y,1.0,10.0,4.0,1925.0,2014.0,1978,2.0,2014-03-28T00:00:00.000Z,599000.0,1,1,1428,1,4.0,2 Story,7.0,Row Inside,3.0,Average,5.0,Very Good,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,2.0,0.0,11,1550,2018-07-22T18:01:43.000Z
89497,5198W   0009,1.0,0.0,1.0,Forced Air,Y,1.0,5.0,2.0,1945.0,,1956,2.0,1900-01-01T00:00:00.000Z,,0,1,810,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,3.0,Average,14.0,Common Brick,1.0,Comp Shingle,2.0,Carpet,1.0,0.0,13,1804,2018-07-22T18:01:43.000Z
51129,2868    0043,4.0,0.0,7.0,Warm Cool,Y,4.0,12.0,8.0,1910.0,,1957,3.0,2008-04-14T00:00:00.000Z,0.0,0,1,2592,1,7.0,3 Story,7.0,Row Inside,4.0,Above Average,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,4.0,0.0,24,2503,2018-07-22T18:01:43.000Z
36823,1983    0036,4.0,0.0,7.0,Warm Cool,Y,1.0,13.0,4.0,1926.0,1996.0,1960,2.5,2002-11-08T00:00:00.000Z,0.0,0,1,1910,1,5.0,2.5 Story Unfin,8.0,Semi-Detached,5.0,Good Quality,4.0,Good,14.0,Common Brick,11.0,Slate,6.0,Hardwood,1.0,1.0,13,2646,2018-07-22T18:01:43.000Z
85671,5136    0813,2.0,1.0,1.0,Forced Air,Y,1.0,6.0,3.0,1964.0,,1972,1.0,1900-01-01T00:00:00.000Z,,0,1,1176,1,1.0,1 Story,1.0,Single,3.0,Average,3.0,Average,14.0,Common Brick,1.0,Comp Shingle,11.0,Hardwood/Carp,1.0,0.0,12,4388,2018-07-22T18:01:43.000Z
73807,4060    0232,2.0,0.0,1.0,Forced Air,Y,1.0,6.0,3.0,1927.0,2014.0,1964,2.0,2017-08-22T00:00:00.000Z,0.0,0,5,968,1,4.0,2 Story,6.0,Row End,3.0,Average,5.0,Very Good,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,11,1613,2018-07-22T18:01:43.000Z
41514,2676    0328,2.0,1.0,1.0,Forced Air,Y,2.0,6.0,3.0,1904.0,2003.0,1969,2.0,2003-03-25T00:00:00.000Z,26456.0,0,1,2168,1,4.0,2 Story,7.0,Row Inside,5.0,Good Quality,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,2.0,2.0,24,1925,2018-07-22T18:01:43.000Z
10877,0865    0827,2.0,1.0,13.0,Hot Water Rad,Y,2.0,9.0,3.0,1908.0,2010.0,1982,2.0,2015-12-22T00:00:00.000Z,955000.0,1,2,1340,1,4.0,2 Story,7.0,Row Inside,5.0,Good Quality,4.0,Good,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,2.0,2.0,24,1345,2018-07-22T18:01:43.000Z
6034,0694    0803,2.0,1.0,1.0,Forced Air,Y,1.0,6.0,2.0,1890.0,2015.0,1967,3.0,2014-02-07T00:00:00.000Z,0.0,0,1,1995,1,7.0,3 Story,7.0,Row Inside,4.0,Above Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,3.0,11,908,2018-07-22T18:01:43.000Z
93988,5379    0014,1.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,2.0,1942.0,,1954,2.0,1900-01-01T00:00:00.000Z,,0,1,986,1,4.0,2 Story,7.0,Row Inside,3.0,Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,11,1354,2018-07-22T18:01:43.000Z
20819,1239    0816,2.0,0.0,13.0,Hot Water Rad,Y,1.0,6.0,3.0,1854.0,2014.0,1979,2.0,2014-07-30T00:00:00.000Z,1275000.0,0,6,1286,1,4.0,2 Story,8.0,Semi-Detached,8.0,Superior,4.0,Good,6.0,Wood Siding,6.0,Metal- Sms,6.0,Hardwood,1.0,2.0,13,1742,2018-07-22T18:01:43.000Z
18954,1277    0203,2.0,1.0,7.0,Warm Cool,Y,1.0,6.0,3.0,1940.0,2004.0,1976,3.0,2015-09-04T00:00:00.000Z,0.0,0,3,2363,1,7.0,3 Story,7.0,Row Inside,8.0,Superior,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,1.0,11,2501,2018-07-22T18:01:43.000Z
26169,1352    0813,1.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1930.0,,1954,2.0,2013-09-09T00:00:00.000Z,0.0,0,1,1176,1,4.0,2 Story,7.0,Row Inside,6.0,Very Good,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,11,2146,2018-07-22T18:01:43.000Z
40941,2349    0222,3.0,1.0,7.0,Warm Cool,Y,1.0,9.0,5.0,1941.0,,1963,2.25,2004-01-09T00:00:00.000Z,0.0,0,1,1650,1,6.0,2.5 Story Fin,1.0,Single,6.0,Very Good,3.0,Average,14.0,Common Brick,11.0,Slate,6.0,Hardwood,1.0,1.0,12,6332,2018-07-22T18:01:43.000Z
34669,2027    0808,2.0,1.0,13.0,Hot Water Rad,Y,1.0,8.0,3.0,1925.0,2000.0,1972,2.0,2010-01-13T00:00:00.000Z,0.0,0,1,2482,1,4.0,2 Story,1.0,Single,6.0,Very Good,4.0,Good,14.0,Common Brick,11.0,Slate,6.0,Hardwood,1.0,1.0,12,7500,2018-07-22T18:01:43.000Z
12151,1007    0804,1.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1908.0,,1960,2.0,2017-10-12T00:00:00.000Z,680000.0,0,2,1618,1,4.0,2 Story,7.0,Row Inside,5.0,Good Quality,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,3.0,Wood Floor,1.0,0.0,11,1362,2018-07-22T18:01:43.000Z
32924,1931    0024,3.0,1.0,7.0,Warm Cool,Y,1.0,9.0,3.0,1925.0,2008.0,1970,2.5,2007-05-21T00:00:00.000Z,1325000.0,0,1,3196,1,6.0,2.5 Story Fin,1.0,Single,7.0,Excellent,4.0,Good,7.0,Shingle,1.0,Comp Shingle,6.0,Hardwood,1.0,1.0,12,6131,2018-07-22T18:01:43.000Z
96796,5567    0044,1.0,0.0,13.0,Hot Water Rad,N,1.0,7.0,4.0,1940.0,1978.0,1954,2.0,2012-01-11T00:00:00.000Z,0.0,0,1,1116,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,11,1476,2018-07-22T18:01:43.000Z
106281,6223S   0040,1.0,0.0,7.0,Warm Cool,Y,1.0,6.0,3.0,1948.0,,1948,2.0,1900-01-01T00:00:00.000Z,,0,1,992,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,3.0,Average,22.0,Brick/Siding,1.0,Comp Shingle,6.0,Hardwood,1.0,0.0,13,3063,2018-07-22T18:01:43.000Z
6409,0618    0046,3.0,1.0,1.0,Forced Air,Y,2.0,8.0,3.0,1900.0,2013.0,1967,2.0,2016-05-25T00:00:00.000Z,660000.0,1,3,1392,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,2.0,0.0,24,1134,2018-07-22T18:01:43.000Z
6398,0511    0053,2.0,1.0,1.0,Forced Air,Y,1.0,6.0,3.0,1900.0,2002.0,1964,2.0,2002-10-21T00:00:00.000Z,265000.0,1,1,1844,1,4.0,2 Story,7.0,Row Inside,3.0,Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,11,1875,2018-07-22T18:01:43.000Z
57381,3197    0063,3.0,1.0,1.0,Forced Air,Y,1.0,8.0,3.0,1929.0,2015.0,1964,2.0,2015-07-08T00:00:00.000Z,585000.0,1,3,1088,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,13,2152,2018-07-22T18:01:43.000Z
23778,1327    0027,2.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,4.0,1929.0,1966.0,1963,2.5,2017-09-27T00:00:00.000Z,906503.0,1,3,2131,1,6.0,2.5 Story Fin,6.0,Row End,6.0,Very Good,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,1.0,11,1995,2018-07-22T18:01:43.000Z
38902,2344    0044,2.0,1.0,7.0,Warm Cool,Y,1.0,8.0,3.0,1939.0,2003.0,1972,2.0,1996-11-15T00:00:00.000Z,294000.0,1,1,2178,1,4.0,2 Story,1.0,Single,6.0,Very Good,4.0,Good,14.0,Common Brick,11.0,Slate,6.0,Hardwood,1.0,2.0,12,7250,2018-07-22T18:01:43.000Z
35252,2030    0005,2.0,1.0,1.0,Forced Air,Y,1.0,8.0,4.0,1950.0,,1963,1.0,2010-07-12T00:00:00.000Z,619000.0,0,1,1620,1,1.0,1 Story,1.0,Single,4.0,Above Average,3.0,Average,14.0,Common Brick,11.0,Slate,6.0,Hardwood,1.0,1.0,12,6400,2018-07-22T18:01:43.000Z
44055,2723W   0035,3.0,1.0,7.0,Warm Cool,Y,1.0,8.0,5.0,1928.0,2015.0,1986,2.5,2017-06-29T00:00:00.000Z,860000.0,1,3,2456,1,6.0,2.5 Story Fin,8.0,Semi-Detached,5.0,Good Quality,4.0,Good,14.0,Common Brick,10.0,Clay Tile,6.0,Hardwood,1.0,1.0,13,4375,2018-07-22T18:01:43.000Z
59258,3211    0126,1.0,0.0,13.0,Hot Water Rad,N,1.0,5.0,3.0,1926.0,2008.0,1964,2.0,2003-08-25T00:00:00.000Z,225000.0,1,1,1056,1,4.0,2 Story,7.0,Row Inside,3.0,Average,4.0,Good,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,11,2200,2018-07-22T18:01:43.000Z
5709,0482    0090,3.0,1.0,1.0,Forced Air,Y,2.0,12.0,5.0,1890.0,2002.0,1972,3.0,2005-05-03T00:00:00.000Z,0.0,0,1,2396,1,7.0,3 Story,7.0,Row Inside,6.0,Very Good,4.0,Good,14.0,Common Brick,13.0,Neopren,6.0,Hardwood,2.0,0.0,24,1546,2018-07-22T18:01:43.000Z
28023,1427    0026,4.0,3.0,7.0,Warm Cool,Y,1.0,9.0,5.0,2000.0,,2013,2.0,2015-06-02T00:00:00.000Z,0.0,0,3,5248,1,4.0,2 Story,1.0,Single,11.0,Exceptional-C,5.0,Very Good,5.0,Stucco,7.0,Metal- Cpr,6.0,Hardwood,1.0,2.0,12,13870,2018-07-22T18:01:43.000Z
19532,1255    0227,3.0,1.0,7.0,Warm Cool,Y,1.0,5.0,3.0,1826.0,2008.0,1978,3.0,2017-08-28T00:00:00.000Z,0.0,0,5,2488,1,7.0,3 Story,6.0,Row End,7.0,Excellent,5.0,Very Good,6.0,Wood Siding,6.0,Metal- Sms,6.0,Hardwood,1.0,2.0,11,1808,2018-07-22T18:01:43.000Z
83447,5046    0037,2.0,0.0,1.0,Forced Air,N,1.0,7.0,3.0,1941.0,,1957,2.0,1900-01-01T00:00:00.000Z,,0,1,1024,1,4.0,2 Story,7.0,Row Inside,3.0,Average,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,11,1744,2018-07-22T18:01:43.000Z
7238,0759    0045,1.0,1.0,13.0,Hot Water Rad,Y,1.0,10.0,4.0,1853.0,2000.0,1964,2.0,1999-06-23T00:00:00.000Z,358000.0,1,1,2761,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,4.0,Good,6.0,Wood Siding,6.0,Metal- Sms,6.0,Hardwood,1.0,2.0,13,2922,2018-07-22T18:01:43.000Z
57217,3103    0032,2.0,1.0,13.0,Hot Water Rad,Y,2.0,7.0,4.0,1912.0,2009.0,1967,2.0,2010-05-28T00:00:00.000Z,594500.0,1,1,1747,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,2.0,1.0,24,1536,2018-07-22T18:01:43.000Z
103489,6159    0874,2.0,1.0,7.0,Warm Cool,Y,1.0,6.0,3.0,2000.0,,2006,2.0,2004-02-10T00:00:00.000Z,225000.0,1,1,1224,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,6.0,Excellent,10.0,Brick Veneer,1.0,Comp Shingle,11.0,Hardwood/Carp,1.0,0.0,11,1298,2018-07-22T18:01:43.000Z
17587,1102    0118,1.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1925.0,,1957,2.0,2004-12-10T00:00:00.000Z,0.0,0,1,1432,1,4.0,2 Story,6.0,Row End,4.0,Above Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,11,1653,2018-07-22T18:01:43.000Z
94294,5398    0005,1.0,1.0,7.0,Warm Cool,Y,1.0,7.0,3.0,1948.0,1996.0,1958,2.0,1900-01-01T00:00:00.000Z,,0,1,986,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,3.0,Average,14.0,Common Brick,1.0,Comp Shingle,2.0,Carpet,1.0,0.0,13,3644,2018-07-22T18:01:43.000Z
101929,5909    0011,4.0,0.0,13.0,Hot Water Rad,N,4.0,18.0,6.0,1945.0,,1959,2.0,2004-01-06T00:00:00.000Z,170000.0,1,1,2520,1,4.0,2 Story,2.0,Multi,4.0,Above Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,4.0,0.0,23,9682,2018-07-22T18:01:43.000Z
62271,3311    0103,1.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1923.0,,1964,2.0,2004-08-05T00:00:00.000Z,155000.0,0,1,1368,1,4.0,2 Story,7.0,Row Inside,3.0,Average,4.0,Good,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,11,1758,2018-07-22T18:01:43.000Z
23578,1292    1043,4.0,1.0,7.0,Warm Cool,Y,1.0,8.0,3.0,1987.0,2010.0,2001,3.0,2007-05-03T00:00:00.000Z,1295000.0,1,1,2666,1,7.0,3 Story,7.0,Row Inside,7.0,Excellent,4.0,Good,14.0,Common Brick,1.0,Comp Shingle,6.0,Hardwood,1.0,1.0,11,1617,2018-07-22T18:01:43.000Z
79037,4174    0014,2.0,1.0,7.0,Warm Cool,Y,1.0,6.0,3.0,1950.0,,1953,2.0,1900-01-01T00:00:00.000Z,,0,1,1400,1,4.0,2 Story,1.0,Single,4.0,Above Average,4.0,Good,14.0,Common Brick,1.0,Comp Shingle,6.0,Hardwood,1.0,1.0,12,5338,2018-07-22T18:01:43.000Z
106422,6171    0053,1.0,1.0,7.0,Warm Cool,Y,1.0,7.0,3.0,1967.0,,1967,2.0,1900-01-01T00:00:00.000Z,,0,1,1354,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,13,3892,2018-07-22T18:01:43.000Z
14957,0990    0066,1.0,0.0,13.0,Hot Water Rad,N,1.0,3.0,2.0,1900.0,,1954,2.0,2000-05-24T00:00:00.000Z,80000.0,0,1,672,1,4.0,2 Story,7.0,Row Inside,3.0,Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,1.0,11,546,2018-07-22T18:01:43.000Z
79201,4198    0047,2.0,1.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1935.0,2004.0,1967,2.5,2014-10-22T00:00:00.000Z,452000.0,1,5,1204,1,6.0,2.5 Story Fin,1.0,Single,4.0,Above Average,4.0,Good,14.0,Common Brick,1.0,Comp Shingle,6.0,Hardwood,1.0,1.0,12,3740,2018-07-22T18:01:43.000Z
76938,4192    0002,2.0,1.0,9.0,Evp Cool,Y,1.0,6.0,3.0,1936.0,1962.0,1954,2.0,2004-08-11T00:00:00.000Z,0.0,0,1,1484,1,4.0,2 Story,1.0,Single,4.0,Above Average,3.0,Average,14.0,Common Brick,11.0,Slate,6.0,Hardwood,1.0,1.0,12,3610,2018-07-22T18:01:43.000Z
67208,3713N   0034,1.0,1.0,1.0,Forced Air,N,1.0,5.0,2.0,1950.0,,1950,2.0,1900-01-01T00:00:00.000Z,,0,1,900,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,13,2013,2018-07-22T18:01:43.000Z
71738,3976    0028,3.0,0.0,13.0,Hot Water Rad,N,1.0,2.0,3.0,1936.0,,1967,2.0,2017-03-23T00:00:00.000Z,559000.0,1,2,1612,1,4.0,2 Story,8.0,Semi-Detached,4.0,Above Average,4.0,Good,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,1.0,13,4410,2018-07-22T18:01:43.000Z
80199,4141    0018,1.0,1.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1930.0,,1950,1.0,2017-01-25T00:00:00.000Z,0.0,0,2,1305,1,1.0,1 Story,1.0,Single,3.0,Average,3.0,Average,6.0,Wood Siding,1.0,Comp Shingle,6.0,Hardwood,1.0,0.0,12,6364,2018-07-22T18:01:43.000Z
98536,5734    0819,2.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1935.0,,1961,1.0,2009-02-11T00:00:00.000Z,235000.0,1,1,869,1,3.0,1.5 Story Fin,1.0,Single,3.0,Average,3.0,Average,6.0,Wood Siding,1.0,Comp Shingle,11.0,Hardwood/Carp,1.0,0.0,12,6160,2018-07-22T18:01:43.000Z
103744,5898    0061,1.0,2.0,7.0,Warm Cool,Y,1.0,5.0,2.0,1999.0,,2005,2.0,2001-08-29T00:00:00.000Z,118650.0,1,1,1040,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,4.0,Good,4.0,Vinyl Siding,1.0,Comp Shingle,11.0,Hardwood/Carp,1.0,0.0,11,1992,2018-07-22T18:01:43.000Z
5601,0552    0143,2.0,1.0,1.0,Forced Air,Y,1.0,6.0,2.0,1910.0,1992.0,1964,2.0,2017-08-03T00:00:00.000Z,735000.0,1,3,2142,1,4.0,2 Story,7.0,Row Inside,3.0,Average,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,1.0,11,1509,2018-07-22T18:01:43.000Z
4395,0339    0008,2.0,1.0,7.0,Warm Cool,Y,1.0,9.0,3.0,1977.0,,1990,2.0,2005-03-28T00:00:00.000Z,0.0,0,1,1532,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,4.0,Good,14.0,Common Brick,2.0,Built Up,3.0,Wood Floor,1.0,0.0,23,1850,2018-07-22T18:01:43.000Z
71306,3915    0007,1.0,0.0,13.0,Hot Water Rad,Y,1.0,6.0,3.0,1940.0,,1957,2.0,1900-01-01T00:00:00.000Z,0.0,0,1,1122,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,11,1700,2018-07-22T18:01:43.000Z
93539,5340    0032,1.0,1.0,1.0,Forced Air,Y,1.0,6.0,3.0,1940.0,2006.0,1964,2.0,2006-09-21T00:00:00.000Z,265000.0,1,1,1008,1,4.0,2 Story,6.0,Row End,3.0,Average,4.0,Good,14.0,Common Brick,1.0,Comp Shingle,6.0,Hardwood,1.0,0.0,11,3661,2018-07-22T18:01:43.000Z
74862,3970    0034,2.0,0.0,13.0,Hot Water Rad,N,2.0,8.0,4.0,1929.0,1982.0,1967,2.0,2013-05-24T00:00:00.000Z,473000.0,1,1,1440,1,4.0,2 Story,6.0,Row End,4.0,Above Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,2.0,1.0,11,4345,2018-07-22T18:01:43.000Z
51482,2955    0039,1.0,0.0,13.0,Hot Water Rad,N,1.0,5.0,2.0,1923.0,,1950,2.0,1999-12-30T00:00:00.000Z,275000.0,0,1,1877,1,4.0,2 Story,1.0,Single,5.0,Good Quality,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,1.0,12,4600,2018-07-22T18:01:43.000Z
99408,5652    0831,2.0,0.0,13.0,Hot Water Rad,Y,1.0,8.0,3.0,1932.0,2013.0,1967,2.0,2017-05-19T00:00:00.000Z,0.0,0,5,1832,1,4.0,2 Story,1.0,Single,4.0,Above Average,4.0,Good,14.0,Common Brick,1.0,Comp Shingle,6.0,Hardwood,1.0,1.0,12,10424,2018-07-22T18:01:43.000Z
58773,3202    0193,1.0,0.0,13.0,Hot Water Rad,N,1.0,7.0,3.0,1928.0,2005.0,1957,2.0,1900-01-01T00:00:00.000Z,,0,1,1280,1,4.0,2 Story,8.0,Semi-Detached,4.0,Above Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,1.0,13,2648,2018-07-22T18:01:43.000Z
31951,1679    0820,2.0,0.0,1.0,Forced Air,Y,1.0,8.0,4.0,1928.0,2001.0,1982,1.5,2002-03-21T00:00:00.000Z,580000.0,1,1,1728,1,3.0,1.5 Story Fin,1.0,Single,5.0,Good Quality,4.0,Good,14.0,Common Brick,11.0,Slate,6.0,Hardwood,1.0,1.0,12,5630,2018-07-22T18:01:43.000Z
18453,1102    0067,1.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1923.0,,1957,2.0,1900-01-01T00:00:00.000Z,,0,1,1850,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,11,2177,2018-07-22T18:01:43.000Z
16096,1069    0053,1.0,0.0,7.0,Warm Cool,Y,1.0,8.0,3.0,1913.0,2014.0,1967,2.0,2013-12-23T00:00:00.000Z,423500.0,1,1,936,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,2.0,11,1100,2018-07-22T18:01:43.000Z
41556,2582    0194,3.0,1.0,13.0,Hot Water Rad,N,2.0,8.0,5.0,1910.0,2007.0,1972,3.0,2012-02-06T00:00:00.000Z,873500.0,0,1,2646,1,7.0,3 Story,7.0,Row Inside,6.0,Very Good,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,2.0,0.0,24,2146,2018-07-22T18:01:43.000Z
66733,3672    0024,2.0,0.0,13.0,Hot Water Rad,Y,1.0,6.0,3.0,1942.0,,1954,2.0,1900-01-01T00:00:00.000Z,0.0,0,1,1256,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,4.0,Good,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,13,2492,2018-07-22T18:01:43.000Z
26691,1467    0912,5.0,1.0,7.0,Warm Cool,Y,1.0,11.0,4.0,1995.0,,2000,2.0,1996-04-05T00:00:00.000Z,986209.0,0,1,4324,1,4.0,2 Story,1.0,Single,6.0,Very Good,5.0,Very Good,10.0,Brick Veneer,1.0,Comp Shingle,11.0,Hardwood/Carp,1.0,3.0,12,12056,2018-07-22T18:01:43.000Z
